Date,HM-B.ST,ITX.MC,MC.PA,TPR
2020-01-02,154.49807739257812,25.925188064575195,380.1163024902344,23.39380645751953
2020-01-03,152.39854431152344,25.974180221557617,380.0710144042969,23.385116577148438
2020-01-06,152.39854431152344,25.74555015563965,376.4888000488281,23.68046760559082
2020-01-07,154.57818603515625,26.072166442871094,377.2596740722656,23.906330108642578
2020-01-08,154.25765991210938,26.129322052001953,379.7989501953125,24.06269645690918
2020-01-09,152.28636169433594,26.02317237854004,384.9681091308594,23.784717559814453
2020-01-10,148.2796630859375,25.778207778930664,384.19720458984375,23.828149795532227
2020-01-13,148.391845703125,25.79454231262207,387.0085754394531,24.410171508789062
2020-01-14,148.08734130859375,25.721052169799805,390.8628234863281,24.870574951171875
2020-01-15,146.80520629882812,25.62306785583496,391.2708740234375,24.809768676757812
2020-01-16,148.13543701171875,25.541412353515625,391.6789855957031,25.061687469482422
2020-01-17,148.2315673828125,25.925188064575195,398.1631164550781,25.096433639526367
2020-01-20,147.6065673828125,25.459760665893555,389.72918701171875,25.096433639526367
2020-01-21,148.7764892578125,25.541412353515625,385.3761901855469,24.636030197143555
2020-01-22,149.481689453125,25.337276458740234,384.0158996582031,24.019262313842773
2020-01-23,150.45933532714844,25.32911491394043,373.5868225097656,24.271181106567383
2020-01-24,151.40489196777344,25.427099227905273,377.53173828125,23.70653533935547
2020-01-27,147.92710876464844,24.87184715270996,363.65655517578125,22.794408798217773
2020-01-28,151.96583557128906,25.25562286376953,373.63214111328125,22.933401107788086
2020-01-29,151.98187255859375,25.337276458740234,369.64190673828125,23.246126174926758
2020-01-30,166.31781005859375,25.247459411621094,361.7521057128906,23.14188003540039
2020-01-31,169.603271484375,24.79836082458496,358.4873352050781,22.38612174987793
2020-02-03,166.95889282226562,24.945335388183594,359.80230712890625,22.611984252929688
2020-02-04,168.28109741210938,25.525081634521484,372.362548828125,23.628353118896484
2020-02-05,166.3578643798828,25.663894653320312,376.35284423828125,24.662092208862305
2020-02-06,167.3595428466797,26.09665870666504,379.11871337890625,25.19198989868164
2020-02-07,163.47305297851562,26.039501190185547,375.4005432128906,24.297239303588867
2020-02-10,163.71343994140625,26.006837844848633,375.03778076171875,24.76633644104004
2020-02-11,163.55320739746094,26.129322052001953,373.9495849609375,24.8271427154541
2020-02-12,163.39291381835938,25.721052169799805,385.1495056152344,25.600271224975586
2020-02-13,162.03065490722656,25.51691436767578,382.2928161621094,25.044313430786133
2020-02-14,163.87371826171875,25.663894653320312,376.3074645996094,25.374414443969727
2020-02-17,163.87371826171875,25.70471954345703,375.8086853027344,25.374414443969727
2020-02-18,161.67002868652344,25.884357452392578,370.7755432128906,24.410171508789062
2020-02-19,162.551513671875,26.194644927978516,380.0256042480469,24.358055114746094
2020-02-20,163.39291381835938,25.786376953125,371.6370544433594,25.026941299438477
2020-02-21,163.67340087890625,25.79454231262207,366.83062744140625,24.314617156982422
2020-02-24,153.1357879638672,24.18595314025879,349.736083984375,22.195011138916016
2020-02-25,150.10675048828125,23.932825088500977,344.657470703125,21.152585983276367
2020-02-26,149.481689453125,23.883834838867188,349.3733215332031,20.431577682495117
2020-02-27,144.62557983398438,22.944812774658203,335.4074401855469,19.936420440673828
2020-02-28,138.92002868652344,22.969303131103516,336.3142395019531,20.37076759338379
2020-03-02,139.9136962890625,22.78966522216797,341.075439453125,20.579252243041992
2020-03-03,140.60287475585938,22.79783058166504,342.2090148925781,20.292583465576172
2020-03-04,142.49403381347656,23.075458526611328,349.32794189453125,21.135210037231445
2020-03-05,138.40716552734375,22.610027313232422,339.66973876953125,19.574207305908203
2020-03-06,133.0542449951172,21.91596794128418,326.7920837402344,19.116125106811523
2020-03-09,128.93536376953125,20.82996940612793,306.52349853515625,16.235492706298828
2020-03-10,126.09861755371094,19.85828399658203,303.6214904785156,16.878568649291992
2020-03-11,120.20079040527344,19.22954750061035,299.4045104980469,15.477898597717285
2020-03-12,105.69654846191406,17.20452117919922,273.42254638671875,13.222721099853516
2020-03-13,107.3953857421875,17.392332077026367,285.57470703125,14.29745101928711
2020-03-16,95.95226287841797,16.469636917114258,269.8857421875,10.113048553466797
2020-03-17,92.10585021972656,17.196359634399414,282.26458740234375,11.619430541992188
2020-03-18,84.84571838378906,16.91873550415039,261.1343994140625,11.769190788269043
2020-03-19,90.80767822265625,16.943233489990234,267.4825439453125,11.196587562561035
2020-03-20,90.74356079101562,17.620960235595703,282.037841796875,10.606368064880371
2020-03-23,87.16959381103516,17.147369384765625,282.4006042480469,9.320213317871094
2020-03-24,98.69284057617188,19.245878219604492,307.56640625,12.086324691772461
2020-03-25,107.41141510009766,19.188720703125,329.6487731933594,13.125819206237793
2020-03-26,104.17400360107422,19.596994400024414,329.8301696777344,13.354860305786133
2020-03-27,98.56462097167969,18.77228355407715,309.8335876464844,12.253703117370605
2020-03-30,97.97164916992188,18.543655395507812,317.4059753417969,11.637052536010742
2020-03-31,102.57133483886719,19.319364547729492,306.93157958984375,11.408012390136719
2020-04-01,98.6047134399414,18.380346298217773,294.4167175292969,9.751869201660156
2020-04-02,92.23406219482422,17.865921020507812,295.05145263671875,9.69901180267334
2020-04-03,91.35260009765625,17.94757843017578,294.7794494628906,9.769484519958496
2020-04-06,100.9686508178711,19.02541160583496,308.1105651855469,11.48729419708252
2020-04-07,108.140625,19.997095108032227,312.4181213378906,12.747018814086914
2020-04-08,109.98371887207031,19.874614715576172,311.23919677734375,13.187484741210938
2020-04-09,109.3827133178711,20.625835418701172,315.048095703125,13.830560684204102
2020-04-13,109.3827133178711,20.625835418701172,315.048095703125,13.011300086975098
2020-04-14,111.62644958496094,21.524032592773438,319.2197570800781,13.548664093017578
2020-04-15,107.2992172241211,21.034103393554688,310.1509704589844,12.702975273132324
2020-04-16,102.93193054199219,19.98076629638672,310.8764343261719,12.694165229797363
2020-04-17,108.54129791259766,20.862628936767578,324.6609802246094,13.407715797424316
2020-04-20,108.58136749267578,20.462526321411133,326.88275146484375,12.51797866821289
2020-04-21,104.09386444091797,19.882780075073242,317.4059753417969,12.112753868103027
2020-04-22,102.61140441894531,19.596994400024414,320.5346984863281,11.813236236572266
2020-04-23,102.93193054199219,19.147891998291016,316.1816711425781,12.13037109375
2020-04-24,99.96697998046875,18.77228355407715,309.10809326171875,12.015850067138672
2020-04-27,103.85347747802734,19.417354583740234,318.2674865722656,13.25795841217041
2020-04-28,106.65816497802734,19.041744232177734,323.75408935546875,14.191741943359375
2020-04-29,112.98872375488281,19.67047882080078,326.2933654785156,15.01981258392334
2020-04-30,109.14229583740234,18.984586715698242,319.62786865234375,13.108200073242188
2020-05-01,109.14229583740234,18.984586715698242,319.62786865234375,13.354860305786133
2020-05-04,102.45111083984375,17.75977325439453,307.022216796875,13.011300086975098
2020-05-05,101.4895248413086,17.882253646850586,310.60443115234375,13.011300086975098
2020-05-06,101.76998901367188,18.14354705810547,305.0725402832031,12.394649505615234
2020-05-07,104.85514831542969,19.09073829650879,313.370361328125,12.77344799041748
2020-05-08,106.13728332519531,18.878435134887695,319.4464416503906,13.108200073242188
2020-05-11,104.77500915527344,18.870267868041992,316.4084777832031,12.2625093460083
2020-05-12,105.77668762207031,19.866453170776367,314.54931640625,11.619430541992188
2020-05-13,99.12557220458984,19.221384048461914,303.84820556640625,10.509464263916016
2020-05-14,95.84008026123047,18.437503814697266,300.1753845214844,10.932310104370117
