,H&M,Inditex,LVMH,Tapestry
2020-06-07,1.049261994258898e-16,0.43152933869288734,0.0,0.5684706613071127
2020-06-14,1.049261994258898e-16,0.43152933869288734,0.0,0.5684706613071127
2020-06-21,1.0909375067771041e-16,0.41962886122666226,0.0,0.5803711387733377
2020-06-28,1.0909375067771041e-16,0.41962886122666226,0.0,0.5803711387733377
2020-07-05,1.0909375067771041e-16,0.41962886122666226,0.0,0.5803711387733377
2020-07-12,1.0909375067771041e-16,0.41962886122666226,0.0,0.5803711387733377
2020-07-19,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-07-26,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-08-02,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-08-09,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-08-16,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-08-23,9.373072900450673e-17,0.402948669442809,0.0,0.5970513305571908
2020-08-30,9.373072900450673e-17,0.402948669442809,0.0,0.5970513305571908
2020-09-06,9.373072900450673e-17,0.402948669442809,0.0,0.5970513305571908
2020-09-13,9.373072900450673e-17,0.402948669442809,0.0,0.5970513305571908
2020-09-20,8.556705256841411e-17,0.38873579760614757,0.0,0.6112642023938524
2020-09-27,8.556705256841411e-17,0.38873579760614757,0.0,0.6112642023938524
2020-10-04,8.556705256841411e-17,0.38873579760614757,0.0,0.6112642023938524
2020-10-11,8.556705256841411e-17,0.38873579760614757,0.0,0.6112642023938524
2020-10-18,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-10-25,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-11-01,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-11-08,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-11-15,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-11-22,1.0432346417816893e-16,0.30803876706714106,0.0,0.6919612329328588
2020-11-29,1.0432346417816893e-16,0.30803876706714106,0.0,0.6919612329328588
2020-12-06,1.0432346417816893e-16,0.30803876706714106,0.0,0.6919612329328588
2020-12-13,1.0432346417816893e-16,0.30803876706714106,0.0,0.6919612329328588
2020-12-20,8.5905806849744e-17,0.402948669442809,0.0,0.5970513305571908
2020-12-27,8.5905806849744e-17,0.402948669442809,0.0,0.5970513305571908
2021-01-03,8.5905806849744e-17,0.402948669442809,0.0,0.5970513305571908
2021-01-10,8.5905806849744e-17,0.402948669442809,0.0,0.5970513305571908
2021-01-17,8.038960677136273e-17,0.402948669442809,0.0,0.5970513305571908
2021-01-24,8.038960677136273e-17,0.402948669442809,0.0,0.5970513305571908
